id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
593,P.M.Sarr,18,TOT,MID,71,2,4,2,3,1388,286,1.0,4.5
594,Min-hyeok,18,TOT,MID,0,0,0,0,0,0,591,0.0,4.5
595,Olusesi,18,TOT,MID,1,0,0,0,0,14,600,0.2,4.3
596,Solanke,18,TOT,FWD,40,3,0,4,0,997,20,1.1,7.1
597,Richarlison,18,TOT,FWD,119,11,4,17,7,1954,68,8.7,6.5
598,Lankshear,18,TOT,FWD,0,0,0,0,0,0,524,0.0,4.5
599,Scarlett,18,TOT,FWD,2,0,0,0,0,7,509,0.5,4.3
600,Areola,19,WHU,GKP,51,0,1,2,0,1800,483,1.9,4.2
601,Foderingham,19,WHU,GKP,0,0,0,0,0,0,726,0.2,4.0
602,Hegyi,19,WHU,GKP,0,0,0,0,0,0,748,0.2,3.9
603,Diouf,19,WHU,DEF,104,0,6,3,9,2706,515,2.4,4.1
604,Emerson,19,WHU,DEF,0,0,0,0,0,0,566,0.0,4.4
605,Kilman,19,WHU,DEF,36,0,0,0,1,1559,548,0.1,4.0
606,Mavropanos,19,WHU,DEF,122,3,0,5,6,2532,623,2.6,4.5
607,N.Aguerd,19,WHU,DEF,3,0,0,0,0,180,604,0.0,4.4
608,Scarles,19,WHU,DEF,21,0,1,0,0,656,636,0.0,4.3
609,Todibo,19,WHU,DEF,46,0,1,1,1,1817,592,0.1,4.3
610,Wan-Bissaka,19,WHU,DEF,67,0,3,0,3,2080,470,4.3,4.1
611,Casey,19,WHU,DEF,0,0,0,0,0,0,730,0.1,4.0
612,L.Paquetá,19,WHU,MID,69,4,2,8,3,1513,109,1.0,5.9
613,Souček,19,WHU,MID,103,5,2,9,7,2190,106,0.5,5.7
614,Ward-Prowse,3,BUR,MID,40,0,1,0,2,1092,111,0.2,5.6
615,Summerville,19,WHU,MID,110,5,4,10,8,2470,241,1.6,5.4
616,Álvarez,19,WHU,MID,0,0,0,0,0,0,322,0.0,4.9
617,Cornet,19,WHU,MID,0,0,0,0,0,0,364,0.0,4.9
618,G.Rodriguez,19,WHU,MID,8,0,0,0,1,175,368,0.0,4.8
619,L.Guilherme,19,WHU,MID,5,0,0,0,0,121,370,0.0,4.9
620,Earthy,19,WHU,MID,1,0,0,0,0,8,575,0.0,4.5
621,Irving,19,WHU,MID,9,0,0,0,0,156,552,0.2,4.3
622,Orford,19,WHU,MID,0,0,0,0,0,0,593,0.1,4.4
623,Potts,19,WHU,MID,37,0,1,0,1,1162,518,0.5,4.3
624,Bowen,19,WHU,FWD,187,9,13,28,8,3406,13,17.5,7.8
625,Füllkrug,19,WHU,FWD,12,0,0,0,1,407,102,0.6,5.6
626,Marshall,19,WHU,FWD,2,0,0,0,0,58,508,0.5,4.3
627,Johnstone,20,WOL,GKP,21,0,0,0,0,1080,583,0.1,4.4
628,José Sá,20,WOL,GKP,68,0,0,8,4,2070,490,1.1,4.2
629,Bentley,20,WOL,GKP,6,0,0,0,0,270,724,0.5,3.9
630,King,9,EVE,GKP,0,0,0,0,0,0,714,1.2,3.9
631,Agbadou,20,WOL,DEF,23,0,0,0,0,1100,561,0.1,4.2
632,Doherty,20,WOL,DEF,14,0,0,0,1,786,574,0.1,4.4
633,H.Bueno,20,WOL,DEF,83,1,3,4,4,2359,608,0.2,4.3
634,Mosquera,20,WOL,DEF,61,0,0,3,4,2137,618,0.1,4.3
635,R.Gomes,20,WOL,DEF,48,3,0,0,1,954,601,0.1,4.4
636,S.Bueno,20,WOL,DEF,92,3,2,4,4,2552,625,0.2,4.4
637,Toti,20,WOL,DEF,41,0,0,0,1,1423,576,0.1,4.2
638,Hoever,20,WOL,DEF,10,0,0,0,0,423,728,0.8,3.8
639,Meupiyou,20,WOL,DEF,0,0,0,0,0,0,746,0.0,4.0
640,Pedro Lima,20,WOL,DEF,10,0,0,0,0,257,721,0.4,4.0
641,Pond,20,WOL,DEF,0,0,0,0,0,0,718,0.9,3.9
642,Hee Chan,20,WOL,MID,54,2,2,0,2,1439,113,0.1,5.6
643,André,20,WOL,MID,96,1,0,4,2,2760,224,0.1,5.2
644,Bellegarde,20,WOL,MID,44,1,1,0,3,1239,217,0.0,5.1
645,Fer López,20,WOL,MID,12,0,1,0,0,228,231,0.0,5.1
646,J.Gomes,20,WOL,MID,107,1,2,6,4,2829,209,0.3,5.3
647,Guedes,20,WOL,MID,0,0,0,0,0,0,228,0.0,5.5
648,Munetsi,20,WOL,MID,38,1,2,1,0,872,227,0.0,5.3
649,B.Traore,20,WOL,MID,0,0,0,0,0,0,351,0.0,5.0
650,Chirewa,20,WOL,MID,2,0,0,0,0,25,558,0.2,4.3
651,Edozie,20,WOL,MID,8,1,0,0,0,12,560,0.4,4.3
652,Gonzalez,20,WOL,MID,0,0,0,0,0,0,527,1.2,4.3
653,Hodge,20,WOL,MID,0,0,0,0,0,0,492,0.0,4.5
654,Strand Larsen,8,CRY,FWD,75,4,1,3,5,2301,52,1.4,5.8
655,Fábio Silva,20,WOL,FWD,0,0,0,0,0,0,288,0.2,4.9
656,Kalajdžić,20,WOL,FWD,1,0,0,0,0,14,313,0.0,4.9
657,Chiwome,20,WOL,FWD,0,0,0,0,0,0,645,0.0,4.4
658,Fraser,20,WOL,FWD,0,0,0,0,0,0,486,1.7,4.2
659,Walker-Peters,19,WHU,DEF,53,1,0,0,4,1378,669,0.3,4.2
660,Mosquera,1,ARS,DEF,40,0,0,1,3,986,243,1.7,4.8
661,Gyökeres,1,ARS,FWD,128,14,1,16,12,2217,8,15.7,9.0
662,Aznou,9,EVE,DEF,0,0,0,0,0,0,668,0.3,5.3
663,Lecomte,10,FUL,GKP,0,0,0,0,0,0,827,0.1,4.9
664,Stach,11,LEE,MID,137,5,6,14,7,2369,390,0.7,3.9
665,Perri,11,LEE,GKP,43,0,0,3,3,1440,666,0.3,4.4
666,Ekitiké,12,LIV,FWD,125,11,4,22,7,1797,11,16.4,9.1
667,Xhaka,17,SUN,MID,124,1,6,8,9,2901,388,0.1,4.2
668,J.Arias,20,WOL,MID,45,1,0,2,2,1117,240,3.2,5.1
669,Ndoye,16,NFO,MID,50,1,2,4,2,1167,121,0.7,5.5
670,Roefs,17,SUN,GKP,136,0,0,12,10,3150,671,8.0,4.8
671,Wilson,19,WHU,FWD,80,7,2,7,1,1234,122,0.6,5.8
672,Hato,7,CHE,DEF,19,0,0,0,0,1139,393,0.2,4.6
673,Ramsdale,15,NEW,GKP,25,0,0,1,1,1003,395,0.9,5.5
674,J.Palhinha,18,TOT,MID,126,5,3,17,5,2192,244,0.7,4.8
675,Ugochukwu,3,BUR,MID,97,3,3,5,3,2330,397,1.1,4.0
676,Gunn,16,NFO,GKP,1,0,0,0,0,45,833,0.1,5.0
677,Guessand,8,CRY,MID,44,1,3,0,2,909,82,0.0,6.2
678,Broja,3,BUR,FWD,43,1,1,2,1,843,245,0.5,3.9
679,Šeško,14,MUN,FWD,111,11,2,19,2,1630,29,1.0,4.2
680,Masuaku,17,SUN,DEF,1,0,0,0,0,125,830,0.1,5.2
681,Hermansen,19,WHU,GKP,76,0,1,8,7,1620,670,4.6,7.2
682,Diakité,4,BOU,DEF,46,0,0,2,4,1275,674,0.1,4.2
683,Thiaw,15,NEW,DEF,126,4,0,12,5,2963,399,4.9,4.1
684,Alderete,17,SUN,DEF,125,1,1,5,10,2797,831,4.7,4.9
685,Møller Wolfe,20,WOL,DEF,35,0,2,0,1,1042,672,0.3,4.1
686,Rees-Dottin,4,BOU,MID,0,0,0,0,0,0,676,1.4,4.3
687,Ngumoha,12,LIV,MID,43,2,1,4,2,547,675,0.2,4.3
688,Wright,2,AVL,GKP,0,0,0,0,0,0,840,0.6,3.9
689,Seung soo,15,NEW,MID,0,0,0,0,0,0,677,0.5,4.3
690,Cardines,8,CRY,MID,2,0,0,0,0,90,679,0.3,4.4
691,Calvert-Lewin,11,LEE,FWD,142,14,2,20,8,2721,247,13.7,5.8
692,Leoni,12,LIV,DEF,0,0,0,0,0,0,398,0.0,4.9
693,Hutchinson,16,NFO,MID,82,1,7,3,6,1676,246,0.1,5.4
694,Mukiele,17,SUN,DEF,151,3,5,11,9,2784,832,8.7,4.6
695,Kalimuendo,16,NFO,FWD,9,0,0,0,0,89,131,0.0,4.4
696,Tchatchoua,20,WOL,DEF,52,0,1,0,3,1834,678,0.1,6.0
697,Adli,4,BOU,MID,67,3,2,4,3,1074,179,0.2,5.4
698,Okafor,11,LEE,MID,109,8,3,11,6,1553,178,0.9,5.5
699,Douglas Luiz,2,AVL,MID,35,1,1,0,1,913,258,0.1,4.9
700,Dowman,1,ARS,MID,16,1,1,0,1,152,476,0.9,4.2
701,Rowe,2,AVL,DEF,0,0,0,0,0,0,836,0.1,4.0
702,Burrowes,2,AVL,MID,1,0,0,0,0,16,475,0.1,4.3
703,Proctor,2,AVL,GKP,0,0,0,0,0,0,834,0.6,3.9
704,Onyango,9,EVE,MID,0,0,0,0,0,0,478,0.0,4.5
705,Campbell,9,EVE,DEF,0,0,0,0,0,0,837,0.1,3.9
706,Dibling,9,EVE,MID,18,0,0,0,2,349,146,2.3,4.0
707,Justin,11,LEE,DEF,94,2,1,9,6,1893,838,0.0,5.3
708,M.Fernandes,19,WHU,MID,135,3,4,7,8,3017,136,0.6,5.5
709,Krejčí,20,WOL,DEF,68,2,2,1,3,2356,477,0.1,4.5
710,Harriman-Annous,1,ARS,MID,0,0,0,0,0,0,424,0.2,3.9
711,Patterson,2,AVL,DEF,0,0,0,0,0,0,839,0.0,4.4
712,Yeremy,8,CRY,MID,77,2,2,3,7,2074,83,0.2,5.8
713,Lindelöf,2,AVL,DEF,29,0,1,0,1,942,450,0.1,4.5
714,A.Jimenez,4,BOU,DEF,74,1,2,2,6,2315,449,6.5,6.7
715,Woltemade,15,NEW,FWD,108,8,4,12,8,1896,37,0.3,4.0
716,John,16,NFO,GKP,11,0,0,0,1,437,807,0.0,4.5
717,Savona,16,NFO,DEF,39,2,0,0,3,1025,401,1.1,6.3
718,Xavi,18,TOT,MID,80,2,5,7,4,1747,36,0.0,5.0
719,S.Magassa,19,WHU,MID,42,1,0,2,2,971,254,0.1,4.5
720,Hincapie,1,ARS,DEF,87,1,2,7,5,1787,139,0.1,5.1
721,Florentino,3,BUR,MID,84,0,2,0,2,2100,257,0.0,4.4
722,Milosavljević,4,BOU,DEF,19,0,0,0,1,367,448,0.0,5.0
723,Canvot,8,CRY,DEF,72,0,0,9,5,1331,425,0.5,4.5
724,Uche,8,CRY,FWD,17,0,1,0,0,159,138,0.1,4.5
725,Röhl,9,EVE,MID,36,1,1,2,2,675,255,0.9,5.1
726,Chukwueze,10,FUL,MID,62,3,4,1,2,1067,137,0.4,6.9
727,Kevin,10,FUL,MID,49,1,3,0,4,1030,85,0.1,5.3
728,Donnarumma,13,MCI,GKP,135,0,0,5,15,3060,135,0.0,5.0
729,Lammens,14,MUN,GKP,109,0,0,11,8,2880,251,0.0,4.5
730,Cuiabano,16,NFO,DEF,0,0,0,0,0,0,396,0.9,5.3
731,Bakwa,16,NFO,MID,26,0,2,1,2,549,84,0.1,5.7
732,Geertruida,17,SUN,DEF,55,0,0,0,3,1681,394,0.1,5.5
733,Brobbey,17,SUN,FWD,92,7,2,12,6,1920,133,3.6,5.1
734,Traoré,17,SUN,MID,30,1,1,1,3,634,132,0.0,5.9
735,Kolo Muani,18,TOT,FWD,52,1,1,1,4,1655,38,0.0,5.5
736,Tolu,20,WOL,FWD,66,3,2,4,3,1402,130,9.3,5.6
737,Kusi-Asare,10,FUL,FWD,6,0,0,0,0,49,452,0.1,4.5
738,Fabianski,19,WHU,GKP,0,0,0,0,0,0,451,0.0,4.5
739,Mukasa,13,MCI,MID,2,0,0,0,0,25,458,0.0,4.4
740,Mfuni,13,MCI,DEF,0,0,0,0,0,0,707,0.0,3.9
741,Gray,11,LEE,FWD,0,0,0,0,0,0,459,0.1,4.5
742,McAidoo,13,MCI,MID,0,0,0,0,0,0,460,0.0,4.5
743,Emenalo,7,CHE,MID,0,0,0,0,0,0,461,0.0,4.5
744,Oriola,6,BHA,MID,1,0,0,0,0,1,462,0.0,4.5
745,Byfield,18,TOT,DEF,1,0,0,0,0,1,708,0.0,4.0
746,Morrison,12,LIV,MID,0,0,0,0,0,0,463,0.0,4.5
747,Mayers,19,WHU,DEF,6,0,0,0,0,113,710,0.0,4.0
748,Dasilva,5,BRE,MID,2,0,0,0,0,2,248,0.0,4.9
749,Rowswell,18,TOT,DEF,1,0,0,0,0,1,711,1.4,4.2
750,Akhamrich,18,TOT,MID,0,0,0,0,0,0,465,0.0,4.0
751,Golambeckis,19,WHU,DEF,0,0,0,0,0,0,709,0.0,4.5
752,Mané,20,WOL,FWD,74,3,2,9,5,1787,464,0.0,4.0
753,Ruddy,15,NEW,GKP,0,0,0,0,0,0,703,0.0,4.0
754,George Hemmings,2,AVL,MID,2,0,0,0,0,25,466,0.0,4.5
755,Lacey,14,MUN,MID,3,0,0,0,0,40,467,0.0,4.5
756,DaCosta,4,BOU,MID,0,0,0,0,0,0,468,0.0,4.5
757,Hollingshead,2,AVL,GKP,0,0,0,0,0,0,704,0.0,4.0
758,Mohamadou Kanté,19,WHU,MID,9,0,0,0,0,67,469,0.0,4.5
759,Salmon,1,ARS,DEF,0,0,0,0,0,0,705,0.0,4.0
760,Lucky,12,LIV,DEF,0,0,0,0,0,0,684,0.0,4.0
761,Simmonds,6,BHA,DEF,0,0,0,0,0,0,685,0.0,4.0
762,Drakes-Thomas,8,CRY,MID,2,0,0,0,0,7,456,0.0,4.5
763,Gray,13,MCI,MID,0,0,0,0,0,0,455,0.0,4.5
764,Heskey,13,MCI,MID,0,0,0,0,0,0,454,0.0,4.5
765,Shahar,15,NEW,DEF,0,0,0,0,0,0,681,0.0,4.0
766,Olagunju,20,WOL,DEF,0,0,0,0,0,0,680,0.0,4.0
767,Rawlings,20,WOL,MID,0,0,0,0,0,0,453,0.0,4.5
768,Leon Routh,2,AVL,DEF,0,0,0,0,0,0,686,0.0,4.0
769,Bendito Mantato,14,MUN,MID,1,0,0,0,0,15,457,0.0,4.5
770,Ridgeon,10,FUL,MID,0,0,0,0,0,0,426,0.0,4.5
771,Fletcher,14,MUN,MID,2,0,0,0,0,17,428,0.0,4.4
772,Alabi,15,NEW,MID,0,0,0,0,0,0,427,0.0,4.5
773,Benamar,8,CRY,DEF,0,0,0,0,0,0,689,0.0,4.0
774,Jenson Jones,17,SUN,DEF,0,0,0,0,0,0,687,0.0,4.0
775,Tutierov,17,SUN,MID,0,0,0,0,0,0,429,0.0,4.5
776,Pimlott,3,BUR,MID,0,0,0,0,0,0,433,0.0,4.5
777,Graham,9,EVE,FWD,0,0,0,0,0,0,432,0.0,4.5
778,Ojinnaka,20,WOL,MID,0,0,0,0,0,0,431,0.0,4.5
779,Sutherland,20,WOL,MID,0,0,0,0,0,0,430,0.0,4.5
780,Casey,8,CRY,FWD,0,0,0,0,0,0,434,0.0,4.5
781,Carroll,2,AVL,DEF,0,0,0,0,0,0,691,0.0,4.0
782,Brierley,3,BUR,MID,0,0,0,0,0,0,435,0.0,4.0
783,Forster,4,BOU,GKP,0,0,0,0,0,0,688,3.0,5.6
784,Groß,6,BHA,MID,78,1,6,10,6,1636,124,0.0,4.5
785,Pablo,19,WHU,FWD,26,0,1,0,3,819,123,0.0,5.4
786,Merrick,7,CHE,GKP,0,0,0,0,0,0,695,0.0,4.0
787,McNally,10,FUL,GKP,0,0,0,0,0,0,692,0.0,4.4
788,Chambers,11,LEE,MID,0,0,0,0,0,0,437,0.0,4.0
789,Kukonki,14,MUN,DEF,0,0,0,0,0,0,690,0.0,4.0
790,Williams-Barnett,18,TOT,MID,0,0,0,0,0,0,436,0.0,4.5
791,Alysson,2,AVL,MID,3,0,0,0,0,47,154,0.3,5.5
792,Taty,19,WHU,FWD,61,6,1,5,9,1384,125,0.0,5.0
793,Howell,6,BHA,MID,4,0,0,0,0,92,446,0.0,4.0
794,King,8,CRY,DEF,0,0,0,0,0,0,693,0.0,3.9
795,Alleyne,13,MCI,DEF,5,0,0,0,0,135,445,0.0,4.5
796,Gallagher,18,TOT,MID,44,1,1,3,2,1183,127,0.2,5.0
797,Furo,5,BRE,FWD,1,0,0,0,0,1,447,0.0,4.5
798,Imray,8,CRY,DEF,0,0,0,0,0,0,694,0.0,4.0
799,Stevens,4,BOU,MID,0,0,0,0,0,0,402,0.0,4.5
800,Tóth.A,4,BOU,MID,8,0,0,0,0,135,156,0.0,4.9
801,Jocelin.T,17,SUN,MID,1,0,0,0,0,38,155,0.0,4.9
802,Lamadrid,19,WHU,MID,0,0,0,0,0,0,157,0.0,5.0
803,Sharman-Lowe,7,CHE,GKP,0,0,0,0,0,0,699,0.0,4.0
804,Lucca,16,NFO,FWD,9,1,0,0,1,126,129,0.0,4.0
805,Souza,18,TOT,DEF,3,0,0,0,0,142,696,0.0,5.3
806,Abraham,2,AVL,FWD,23,2,0,2,0,278,58,0.0,4.0
807,Mandas,4,BOU,GKP,0,0,0,0,0,0,697,2.3,5.4
808,Rayan,4,BOU,MID,67,5,2,3,6,1110,128,0.2,5.7
809,Abbey,20,WOL,MID,1,0,0,0,0,16,403,0.0,4.5
810,Bentt,5,BRE,MID,0,0,0,0,0,0,406,0.0,4.5
811,Kyerematen,18,TOT,MID,0,0,0,0,0,0,404,0.0,4.5
812,Netz,16,NFO,DEF,11,0,0,0,0,353,407,0.1,4.0
813,Ellborg,17,SUN,GKP,16,0,0,3,1,270,698,0.0,5.0
814,Angulo,17,SUN,MID,13,0,0,0,1,401,159,0.0,4.5
815,Disasi,19,WHU,DEF,49,0,0,1,6,1254,405,0.2,4.5
816,Angel,20,WOL,MID,16,0,0,0,1,457,158,0.0,4.6
817,Armstrong,20,WOL,FWD,39,2,2,1,3,1141,126,0.1,5.1
818,Wilson,18,TOT,FWD,0,0,0,0,0,0,408,0.0,4.5
819,Shield,5,BRE,DEF,0,0,0,0,0,0,700,0.0,4.0
820,McMahon-Brown,3,BUR,MID,0,0,0,0,0,0,409,0.0,4.5
821,Whittaker,17,SUN,MID,0,0,0,0,0,0,411,0.0,4.5
822,Jones,17,SUN,MID,0,0,0,0,0,0,410,0.0,4.5
823,Stephenson,5,BRE,DEF,0,0,0,0,0,0,439,0.0,4.0
824,McManus,5,BRE,DEF,0,0,0,0,0,0,438,0.0,4.0
825,Herrick,19,WHU,GKP,0,0,0,0,0,0,441,0.0,4.0
826,Owen,5,BRE,MID,0,0,0,0,0,0,412,0.0,4.5
827,Thwaites,14,MUN,MID,0,0,0,0,0,0,413,0.0,4.5
828,Brooks,20,WOL,GKP,0,0,0,0,0,0,440,0.0,4.0
829,Derry,7,CHE,MID,1,0,0,0,0,45,414,0.0,4.5
830,Wright,12,LIV,FWD,0,0,0,0,0,0,415,0.0,4.5
831,Gracey,20,WOL,GKP,0,0,0,0,0,0,442,0.0,4.0
832,Ndiaye,12,LIV,DEF,0,0,0,0,0,0,443,0.0,4.0
833,Eboué,7,CHE,MID,0,0,0,0,0,0,417,0.0,4.5
834,Kavuma-McQueen,7,CHE,MID,0,0,0,0,0,0,416,0.0,4.5
835,Whitehall,16,NFO,MID,0,0,0,0,0,0,419,0.0,4.5
836,Sinclair,16,NFO,MID,0,0,0,0,0,0,418,0.0,4.5
837,Lienou,11,LEE,DEF,0,0,0,0,0,0,444,0.0,4.0
838,Chadwick,11,LEE,MID,0,0,0,0,0,0,420,0.0,4.5
839,Cresswell,11,LEE,MID,0,0,0,0,0,0,421,0.0,4.5
840,Mheuka,7,CHE,FWD,1,0,0,0,0,1,422,0.0,4.5
841,Sillah,16,NFO,FWD,0,0,0,0,0,0,423,0.0,4.5
