id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
335,King,10,FUL,MID,63,1,3,3,5,1290,580,1.6,4.4
336,Reed,10,FUL,MID,15,1,0,2,0,89,555,0.3,4.3
337,Raúl,10,FUL,FWD,112,9,5,7,9,2183,60,1.8,5.9
338,Muniz,10,FUL,FWD,36,1,1,3,3,987,162,0.7,5.3
339,Meslier,11,LEE,GKP,0,0,0,0,0,0,497,0.3,4.1
340,Cairns,11,LEE,GKP,0,0,0,0,0,0,756,0.1,3.9
341,Darlow,11,LEE,GKP,71,0,0,3,5,1980,702,6.9,4.0
342,Bogle,11,LEE,DEF,96,1,5,1,6,2795,504,0.4,4.4
343,Struijk,11,LEE,DEF,108,0,1,4,7,2935,530,1.9,4.2
344,Bijol,11,LEE,DEF,99,1,3,6,5,1888,795,1.3,3.9
345,Bornauw,11,LEE,DEF,25,0,0,0,2,429,759,0.1,3.8
346,Byram,11,LEE,DEF,2,0,0,0,0,8,753,0.4,3.7
347,Gudmundsson,11,LEE,DEF,68,0,0,8,5,2637,720,2.5,3.8
348,Rodon,11,LEE,DEF,109,2,0,5,6,2952,719,3.0,3.9
349,Schmidt,11,LEE,DEF,0,0,0,0,0,0,767,0.1,4.0
350,Aaronson,11,LEE,MID,126,4,8,5,9,2449,219,0.8,5.4
351,Gnonto,11,LEE,MID,32,0,3,0,1,521,174,0.1,5.1
352,Harrison,11,LEE,MID,12,0,0,0,0,262,202,0.0,5.1
353,James,11,LEE,MID,23,0,0,0,1,547,173,0.1,5.2
354,Ampadu,11,LEE,MID,134,1,4,11,8,3119,325,0.6,4.9
355,Greenwood,11,LEE,MID,0,0,0,0,0,0,333,0.0,4.9
356,Gruev,11,LEE,MID,56,0,4,3,5,1318,349,0.1,4.7
357,Ramazani,11,LEE,MID,0,0,0,0,0,0,331,0.0,4.9
358,Tanaka,11,LEE,MID,67,2,1,4,3,1307,290,0.2,4.8
359,Crew,11,LEE,MID,0,0,0,0,0,0,622,0.0,4.5
360,Gelhardt,11,LEE,MID,0,0,0,0,0,0,528,0.0,4.5
361,Gyabi,11,LEE,MID,0,0,0,0,0,0,631,0.0,4.5
362,Piroe,11,LEE,FWD,17,0,0,0,1,244,160,0.3,4.9
363,Bamford,11,LEE,FWD,0,0,0,0,0,0,263,0.3,4.9
364,Mateo Joseph,11,LEE,FWD,0,0,0,0,0,0,306,0.0,5.0
365,Nmecha,11,LEE,FWD,73,6,1,8,3,1065,275,0.5,5.0
366,A.Becker,12,LIV,GKP,91,0,0,8,8,2340,142,5.1,5.4
367,Mamardashvili,12,LIV,GKP,34,0,0,2,2,867,514,0.7,4.1
368,Pécsi,12,LIV,GKP,0,0,0,0,0,0,825,0.9,3.8
369,Woodman,12,LIV,GKP,6,0,0,0,0,212,823,0.3,3.9
370,Frimpong,12,LIV,DEF,63,0,5,1,5,1032,86,4.9,5.7
371,Kerkez,12,LIV,DEF,85,2,1,4,6,2251,92,2.9,5.6
372,Robertson,12,LIV,DEF,55,1,0,4,4,1165,94,1.2,5.7
373,Virgil,12,LIV,DEF,175,6,1,10,10,3420,91,31.5,6.1
374,Konaté,12,LIV,DEF,129,1,0,8,10,3090,165,3.8,5.4
375,Bradley,12,LIV,DEF,42,0,2,2,4,928,282,0.1,4.9
376,Gomez,12,LIV,DEF,33,0,2,2,2,594,329,0.2,4.9
377,Tsimikas,12,LIV,DEF,0,0,0,0,0,0,343,0.0,4.8
378,Nallo,12,LIV,DEF,0,0,0,0,0,0,811,0.9,3.7
379,R.Williams,12,LIV,DEF,0,0,0,0,0,0,793,0.5,3.7
380,Ramsay,12,LIV,DEF,0,0,0,0,0,0,790,0.3,3.7
381,M.Salah,12,LIV,MID,123,7,7,11,7,2144,1,15.2,14.0
382,Wirtz,12,LIV,MID,125,5,4,17,10,2374,9,8.5,8.3
383,Luis Díaz,12,LIV,MID,0,0,0,0,0,0,18,0.0,8.0
384,Gakpo,12,LIV,MID,131,7,5,5,10,2736,28,5.6,7.3
385,Chiesa,12,LIV,MID,37,2,1,0,0,317,79,0.3,6.3
386,Mac Allister,12,LIV,MID,108,2,5,9,7,2654,63,1.8,6.1
387,Szoboszlai,12,LIV,MID,160,6,7,21,9,3232,67,15.1,7.1
