,added,event,person,kind,result,index,position,player_in,player_out,player_in_points_scored_in_week,player_in_points_scored_after,player_out_points_scored_in_week,player_out_points_scored_after,net_points_of_trade,net_points_of_trade_per_week,net_points_of_trade_in_week,points_actually_scored,points_not_realised,net_points_banked
420,2025-01-13T11:36:41.731631Z,21,JP,waiver,successful,6.0,GKP,Kinsky,Arrizabalaga,2,17,0,54,-37,-2.0555555555555554,2,3.0,14.0,-51.0
421,2025-01-13T17:55:56.819683Z,21,AN,waiver,successful,11.0,GKP,Kinsky,Arrizabalaga,2,17,0,54,-37,-2.0555555555555554,2,2.0,15.0,-52.0
422,2025-04-18T16:32:10.080834Z,33,JP,free agent,successful,,GKP,Martinez,Arrizabalaga,4,25,6,21,4,0.6666666666666666,-2,4.0,21.0,-17.0
423,2025-02-12T19:55:30.571280Z,25,JP,waiver,successful,12.0,GKP,Henderson,Muric,2,49,0,0,49,3.5,2,2.0,47.0,2.0
424,2025-02-12T19:55:30.571295Z,25,JP,waiver,successful,13.0,FWD,Ferguson,Ndiaye,1,8,0,33,-25,-1.7857142857142858,1,1.0,7.0,-32.0
425,2025-01-31T07:57:34.954818Z,24,JP,waiver,successful,10.0,GKP,Muric,Kinsky,1,1,7,12,-11,-0.7333333333333333,-6,1.0,0.0,-11.0
426,2025-02-20T11:10:32.992335Z,26,JP,waiver,unsuccessful - player in already been picked up,23.0,DEF,Pedro Porro,A. Garcia,1,9,1,4,5,0.38461538461538464,0,0.0,9.0,-4.0
427,2025-02-20T11:10:32.992350Z,26,JP,waiver,successful,24.0,DEF,Huijsen,A. Garcia,2,37,1,4,33,2.5384615384615383,1,6.0,31.0,2.0
428,2025-02-20T10:03:25.071694Z,26,TS,waiver,successful,13.0,DEF,Pedro Porro,Digne,1,9,0,21,-12,-0.9230769230769231,1,1.0,8.0,-20.0
429,2025-02-20T10:03:25.071725Z,26,TS,waiver,unsuccessful - player out already gone,21.0,DEF,Lamptey,Digne,6,10,0,21,-11,-0.8461538461538461,6,6.0,4.0,-15.0
430,2025-05-24T09:14:24.334978Z,38,JP,waiver,successful,5.0,MID,Gordon,Schade,1,1,2,2,-1,-1.0,-1,1.0,0.0,-1.0
431,2024-11-26T05:48:37.046288Z,13,LD,waiver,successful,7.0,DEF,Wan-Bissaka,Mazraoui,6,85,1,47,38,1.4615384615384615,5,0.0,85.0,-47.0
432,2024-10-09T11:05:13.265783Z,8,LD,waiver,successful,6.0,DEF,Van de Ven,Mazraoui,1,7,1,62,-55,-1.7741935483870968,0,2.0,5.0,-60.0
433,2024-10-09T11:05:13.265829Z,8,LD,waiver,unsuccessful - player out already gone,8.0,DEF,Collins,Mazraoui,1,102,1,62,40,1.2903225806451613,0,0.0,102.0,-62.0
434,2024-10-10T19:56:50.137145Z,8,MN,waiver,successful,11.0,DEF,Collins,Pau,1,102,2,41,61,1.967741935483871,-1,2.0,100.0,-39.0
435,2024-12-03T14:33:02.792382Z,14,LD,free agent,successful,,DEF,Wan-Bissaka,Stones,1,79,0,9,70,2.8,1,19.0,60.0,10.0
436,2024-12-03T06:37:54.041196Z,14,BP,free agent,successful,,DEF,Wan-Bissaka,J.Timber,1,79,14,83,-4,-0.16,-13,41.0,38.0,-42.0
437,2024-12-02T15:51:49.600943Z,14,LB,waiver,unsuccessful - player out already gone,6.0,DEF,Wan-Bissaka,James,1,79,0,49,30,1.2,1,0.0,79.0,-49.0
438,2024-12-02T15:51:49.600901Z,14,LB,waiver,successful,3.0,DEF,Cucurella,James,2,102,0,49,53,2.12,2,27.0,75.0,-22.0
439,2025-05-09T04:57:06.586712Z,36,LD,waiver,unsuccessful - player out already gone,7.0,DEF,Wan-Bissaka,Robertson,12,18,4,6,12,4.0,8,0.0,18.0,-6.0
440,2025-05-09T04:57:06.586692Z,36,LD,waiver,successful,5.0,DEF,Collins,Robertson,8,11,4,6,5,1.6666666666666667,4,9.0,2.0,3.0
441,2025-03-13T13:05:41.627586Z,29,LD,waiver,successful,5.0,DEF,Murillo,Robertson,1,29,0,15,14,1.4,1,26.0,3.0,11.0
442,2025-03-13T15:29:13.353679Z,29,CR,waiver,unsuccessful - player in already been picked up,8.0,DEF,Murillo,Lacroix,1,29,0,21,8,0.8,1,0.0,29.0,-21.0
443,2025-03-14T10:29:53.910415Z,29,BP,waiver,successful,1.0,DEF,Murillo,Lacroix,1,29,0,21,8,0.8,1,24.0,5.0,3.0
444,2025-03-13T16:48:17.287784Z,29,TS,waiver,unsuccessful - player in already been picked up,9.0,DEF,Murillo,Tsimikas,1,29,0,11,18,1.8,1,0.0,29.0,-11.0
445,2025-03-13T16:48:17.287739Z,29,TS,waiver,successful,4.0,DEF,N.Williams,Tsimikas,1,26,0,11,15,1.5,1,17.0,9.0,6.0
446,2025-03-13T16:48:17.287884Z,29,TS,waiver,unsuccessful - player out already gone,16.0,DEF,Khusanov,Tsimikas,-1,-1,0,11,-12,-1.2,-1,-1.0,0.0,-12.0
447,2025-03-13T16:48:17.287914Z,29,TS,waiver,unsuccessful - player out already gone,19.0,DEF,Toti,Tsimikas,2,28,0,11,17,1.7,2,0.0,28.0,-11.0
448,2025-03-13T16:48:17.287803Z,29,TS,waiver,unsuccessful - player in already been picked up,10.0,DEF,Murillo,Colwill,1,29,1,38,-9,-0.9,0,0.0,29.0,-38.0
449,2025-03-13T16:48:17.287899Z,29,TS,waiver,successful,17.0,DEF,Khusanov,Colwill,-1,-1,1,38,-39,-3.9,-2,-1.0,0.0,-39.0
450,2025-03-13T16:48:17.287929Z,29,TS,waiver,unsuccessful - player out already gone,20.0,DEF,Toti,Colwill,2,28,1,38,-10,-1.0,1,0.0,28.0,-38.0
451,2025-03-14T12:38:04.024784Z,29,AN,waiver,unsuccessful - player in already been picked up,22.0,DEF,Murillo,Udogie,1,29,1,1,28,2.8,0,0.0,29.0,-1.0
452,2025-03-14T12:38:04.024798Z,29,AN,waiver,successful,23.0,DEF,Estupiñan,Udogie,7,19,1,1,18,1.8,6,9.0,10.0,8.0
453,2025-03-14T12:08:43.868456Z,29,PV,waiver,unsuccessful - player in already been picked up,3.0,DEF,Murillo,N.Semedo,1,29,2,27,2,0.2,-1,0.0,29.0,-27.0
