league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Prem,2025-12-25 10:01:37.775683+00:00,18,AN,waiver,unsuccessful - player out already gone,11.0,2.0,FWD,135,Wissa (1),284,Nketiah (1),1,1,0,0,waiver - unsuccessful - player out already gone
Prem,2025-12-25 14:37:23.581154+00:00,18,LD,waiver,successful,2.0,1.0,FWD,679,Šeško (1),671,Wilson (1),1,1,0,0,waiver - successful
Prem,2025-12-28 13:57:24.292173+00:00,19,LD,waiver,successful,8.0,3.0,MID,427,Reijnders (1),236,Neto (1),1,1,0,0,waiver - successful
Prem,2025-12-29 15:28:26.422656+00:00,19,TS,waiver,unsuccessful - player out already gone,16.0,4.0,MID,489,J.Murphy (1),386,Mac Allister (1),1,1,0,0,waiver - unsuccessful - player out already gone
Prem,2025-12-29 16:17:33.156429+00:00,19,MN,waiver,unsuccessful - player in already been picked up,11.0,4.0,MID,427,Reijnders (1),241,Caicedo (1),1,1,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-01-02 17:01:22.111168+00:00,20,LB,free agent,successful,,,MID,612,L.Paquetá (0),455,Mount (0),0,0,0,0,free agent - successful
Prem,2026-01-15 05:08:23.848827+00:00,22,AN,waiver,successful,4.0,1.0,MID,487,Barnes (3),485,Gordon (3),3,3,0,0,waiver - successful
Prem,2026-01-15 16:42:01.860258+00:00,22,JP,waiver,successful,5.0,1.0,FWD,679,Šeško (0),499,Isak (0),0,0,0,0,waiver - successful
Prem,2026-01-16 10:58:15.762029+00:00,22,MN,waiver,successful,12.0,3.0,MID,120,Schade (1),125,Janelt (1),1,1,0,0,waiver - successful
Prem,2026-01-16 10:58:15.762048+00:00,22,MN,waiver,unsuccessful - player in already been picked up,17.0,4.0,FWD,679,Šeško (0),597,Richarlison (0),0,0,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-01-24 10:04:22.065586+00:00,23,AN,free agent,successful,,,FWD,31,G.Jesus (1),250,Delap (1),1,1,0,0,free agent - successful
Prem,2026-02-09 16:00:15.109739+00:00,26,TS,waiver,unsuccessful - player out already gone,8.0,2.0,DEF,694,Mukiele (2),148,F.Kadıoğlu (2),2,2,0,0,waiver - unsuccessful - player out already gone
Prem,2026-02-09 16:00:15.109761+00:00,26,TS,waiver,successful,9.0,3.0,DEF,694,Mukiele (2),317,Andersen (2),2,2,0,0,waiver - successful
Prem,2026-02-19 19:58:46.037358+00:00,27,JP,waiver,unsuccessful - player in already been picked up,15.0,5.0,MID,83,O.Dango (2),26,Zubimendi (2),2,2,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-02-20 05:17:35.603998+00:00,27,AN,waiver,successful,10.0,2.0,MID,83,O.Dango (2),267,Sarr (2),2,2,0,0,waiver - successful
Prem,2026-02-20 12:26:07.542028+00:00,27,TS,waiver,unsuccessful - player out already gone,20.0,6.0,DEF,370,Frimpong (0),257,Lacroix (0),0,0,0,0,waiver - unsuccessful - player out already gone
Prem,2026-02-20 12:26:07.542047+00:00,27,TS,waiver,unsuccessful - player in already been picked up,21.0,7.0,DEF,74,Truffert (6),261,Richards (6),6,6,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-02-20 16:32:34.139584+00:00,27,JP,free agent,successful,,,MID,515,Gibbs-White (2),26,Zubimendi (2),2,2,0,0,free agent - successful
Prem,2026-02-23 06:47:26.776367+00:00,28,LD,waiver,successful,6.0,2.0,DEF,720,Hincapie (0),7,Calafiori (0),0,0,0,0,waiver - successful
Prem,2026-02-25 07:33:08.296676+00:00,28,LB,waiver,successful,4.0,1.0,DEF,40,Mings (0),230,Fofana (0),0,0,0,0,waiver - successful
Prem,2026-02-25 17:40:43.413272+00:00,28,TS,waiver,successful,5.0,1.0,DEF,317,Andersen (0),694,Mukiele (0),0,0,0,0,waiver - successful
Prem,2026-03-10 08:24:51.229581+00:00,30,LB,waiver,successful,3.0,1.0,DEF,257,Lacroix (9),318,Bassey (9),9,9,0,0,waiver - successful
