,element,short_name,index,pick,web_name,total_points,league_code,position
31,4,AC,12,5,Havertz,97,Conf,FWD
32,327,AC,17,3,Luis Díaz,183,Conf,MID
33,360,AC,26,5,Rodrigo,3,Conf,MID
34,361,AC,31,3,Rúben,90,Conf,DEF
35,335,AC,40,5,Robertson,91,Conf,DEF
36,23,AC,45,3,Trossard,152,Conf,MID
37,15,AC,54,5,Raya,142,Conf,GKP
38,9,AC,59,3,Martinelli,125,Conf,MID
39,391,AC,68,5,Almirón,10,Conf,MID
40,236,AC,73,3,Tarkowski,105,Conf,DEF
41,210,AC,82,5,Mitchell,123,Conf,DEF
42,541,AC,87,3,Cunha,178,Conf,FWD
43,322,AC,96,5,Gomez,14,Conf,DEF
44,358,AC,101,3,Ortega Moreno,35,Conf,GKP
45,182,LB,4,4,Palmer,214,Conf,MID
46,398,LB,11,4,Gordon,124,Conf,MID
47,24,LB,18,4,White,50,Conf,DEF
48,350,LB,25,4,Gvardiol,153,Conf,DEF
49,129,LB,32,4,João Pedro,126,Conf,FWD
50,506,LB,39,4,Van de Ven,32,Conf,DEF
51,342,LB,46,4,Bernardo,110,Conf,MID
52,347,LB,53,4,Ederson M.,111,Conf,GKP
53,180,LB,60,4,N.Jackson,121,Conf,FWD
54,235,LB,67,4,Pickford,158,Conf,GKP
55,172,LB,74,4,James,54,Conf,DEF
56,409,LB,81,4,Livramento,105,Conf,DEF
57,389,LB,88,4,Zirkzee,64,Conf,FWD
58,336,LB,95,4,Szoboszlai,143,Conf,MID
59,527,LB,102,4,L.Paquetá,80,Conf,MID
60,17,AN,5,5,Saka,127,Conf,MID
61,311,AN,10,3,Alexander-Arnold,148,Conf,DEF
62,494,AN,19,5,Maddison,133,Conf,MID
63,18,AN,24,3,Saliba,130,Conf,DEF
64,220,AN,33,5,Calvert-Lewin,63,Conf,FWD
65,495,AN,38,3,Pedro Porro,98,Conf,DEF
66,268,AN,47,5,Delap,132,Conf,FWD
67,525,AN,52,3,Kudus,106,Conf,MID
68,392,AN,61,5,Barnes,130,Conf,MID
69,582,AN,66,3,O'Brien,65,Conf,DEF
70,383,AN,75,5,Onana,120,Conf,GKP
