,id,total_points,gameweek,total_points_scored_after_gameweek
0,1,0,1,0
616,1,0,2,0
1243,1,0,3,0
1891,1,0,4,0
2550,1,0,5,0
3211,1,0,6,0
3875,1,0,7,0
4541,1,0,8,0
5208,1,0,9,0
5878,1,0,10,0
6552,1,0,11,0
7230,1,0,12,0
7914,1,0,13,0
8604,1,0,14,0
9297,1,0,15,0
9990,1,0,16,0
10691,1,0,17,0
11392,1,0,18,0
12097,1,0,19,0
12806,1,0,20,0
13517,1,0,21,0
14241,1,0,22,0
14970,1,0,23,0
15706,1,0,24,0
16448,1,0,25,0
17207,1,0,26,0
17970,1,0,27,0
18734,1,0,28,0
19503,1,0,29,0
20272,1,0,30,0
21043,1,0,31,0
21815,1,0,32,0
22593,1,0,33,0
23372,1,0,34,0
24152,1,0,35,0
24933,1,0,36,0
25714,1,0,37,0
26495,1,0,38,0
1,2,0,1,42
617,2,0,2,42
1244,2,0,3,42
1892,2,1,4,42
2551,2,0,5,41
3212,2,1,6,41
3876,2,1,7,40
4542,2,1,8,39
5209,2,0,9,38
5879,2,1,10,38
6553,2,1,11,37
7231,2,1,12,36
7915,2,1,13,35
8605,2,0,14,34
9298,2,1,15,34
9991,2,1,16,33
10692,2,16,17,32
11393,2,2,18,16
12098,2,12,19,14
12807,2,2,20,2
13518,2,0,21,0
14242,2,0,22,0
14971,2,0,23,0
15707,2,0,24,0
16449,2,0,25,0
17208,2,0,26,0
17971,2,0,27,0
18735,2,0,28,0
19504,2,0,29,0
20273,2,0,30,0
21044,2,0,31,0
21816,2,0,32,0
22594,2,0,33,0
23373,2,0,34,0
24153,2,0,35,0
24934,2,0,36,0
25715,2,0,37,0
26496,2,0,38,0
2,3,6,1,117
618,3,6,2,111
1245,3,2,3,105
1893,3,15,4,103
2552,3,7,5,88
3213,3,1,6,81
3877,3,2,7,80
4543,3,1,8,78
5210,3,1,9,77
5880,3,2,10,76
6554,3,2,11,74
7232,3,6,12,72
7916,3,9,13,66
8606,3,0,14,57
9299,3,0,15,57
9992,3,9,16,57
10693,3,4,17,48
11394,3,6,18,44
12099,3,2,19,38
12808,3,2,20,36
13519,3,1,21,34
14243,3,1,22,33
14972,3,7,23,32
15708,3,2,24,25
16450,3,6,25,23
17209,3,2,26,17
17972,3,7,27,15
18736,3,2,28,8
19505,3,5,29,6
20274,3,1,30,1
21045,3,0,31,0
21817,3,0,32,0
22595,3,0,33,0
23374,3,0,34,0
24154,3,0,35,0
24935,3,0,36,0
25716,3,0,37,0
26497,3,0,38,0
3,4,12,1,97
619,4,2,2,85
1246,4,8,3,83
1894,4,2,4,75
2553,4,2,5,73
3214,4,6,6,71
3878,4,8,7,65
4544,4,2,8,57
5211,4,2,9,55
5881,4,1,10,53
6555,4,1,11,52
7233,4,0,12,51
7917,4,6,13,51
8607,4,2,14,45
9300,4,5,15,43
9993,4,2,16,38
10694,4,6,17,36
11395,4,7,18,30
12100,4,0,19,23
12809,4,0,20,23
13520,4,1,21,23
14244,4,7,22,22
14973,4,2,23,15
15709,4,12,24,13
16451,4,0,25,1
17210,4,0,26,1
17973,4,0,27,1
18737,4,0,28,1
19506,4,0,29,1
20275,4,0,30,1
21046,4,0,31,1
21818,4,0,32,1
22596,4,0,33,1
23375,4,0,34,1
24155,4,0,35,1
24936,4,0,36,1
25717,4,0,37,1
26498,4,1,38,1
4,5,0,1,0
620,5,0,2,0
1247,5,0,3,0
1895,5,0,4,0
2554,5,0,5,0
3215,5,0,6,0
3879,5,0,7,0
4545,5,0,8,0
5212,5,0,9,0
5882,5,0,10,0
6556,5,0,11,0
7234,5,0,12,0
7918,5,0,13,0
8608,5,0,14,0
9301,5,0,15,0
9994,5,0,16,0
10695,5,0,17,0
11396,5,0,18,0
12101,5,0,19,0
12810,5,0,20,0
13521,5,0,21,0
14245,5,0,22,0
14974,5,0,23,0
15710,5,0,24,0
16452,5,0,25,0
17211,5,0,26,0
17974,5,0,27,0
18738,5,0,28,0
19507,5,0,29,0
20276,5,0,30,0
21047,5,0,31,0
21819,5,0,32,0
22597,5,0,33,0
23376,5,0,34,0
24156,5,0,35,0
24937,5,0,36,0
25718,5,0,37,0
26499,5,0,38,0
5,6,1,1,114
621,6,6,2,113
1248,6,1,3,107
1896,6,5,4,106
2555,6,2,5,101
3216,6,4,6,99
3880,6,0,7,95
4546,6,0,8,95
5213,6,2,9,95
5883,6,1,10,93
6557,6,2,11,92
7235,6,6,12,90
7919,6,1,13,84
8609,6,14,14,83
9302,6,2,15,69
9995,6,6,16,67
10696,6,1,17,61
11397,6,9,18,60
12102,6,1,19,51
12811,6,0,20,50
13522,6,2,21,50
14246,6,1,22,48
14975,6,5,23,47
15711,6,1,24,42
16453,6,6,25,41
17212,6,2,26,35
17975,6,6,27,33
18739,6,5,28,27
19508,6,9,29,22
20277,6,7,30,13
21048,6,1,31,6
21820,6,1,32,5
22598,6,4,33,4
23377,6,0,34,0
24157,6,0,35,0
24938,6,0,36,0
25719,6,0,37,0
26500,6,0,38,0
6,7,0,1,20
622,7,0,2,20
1249,7,0,3,20
1897,7,2,4,20
2556,7,0,5,18
3217,7,0,6,18
3881,7,2,7,18
4547,7,0,8,16
5214,7,0,9,16
5884,7,0,10,16
6558,7,0,11,16
7236,7,0,12,16
7920,7,2,13,16
8610,7,1,14,14
9303,7,2,15,13
9996,7,1,16,11
10697,7,0,17,10
11398,7,0,18,10
12103,7,1,19,10
12812,7,2,20,9
13523,7,0,21,7
14247,7,0,22,7
14976,7,0,23,7
15712,7,0,24,7
16454,7,0,25,7
17213,7,0,26,7
17976,7,3,27,7
18740,7,0,28,4
19509,7,0,29,4
20278,7,0,30,4
21049,7,1,31,4
21821,7,2,32,3
22599,7,0,33,1
23378,7,0,34,1
24158,7,0,35,1
24939,7,0,36,1
25720,7,1,37,1
26501,7,0,38,0
7,8,0,1,43
623,8,0,2,43
1250,8,0,3,43
1898,8,0,4,43
2557,8,1,5,43
3218,8,0,6,42
3882,8,1,7,42
4548,8,0,8,41
5215,8,1,9,41
5885,8,0,10,40
6559,8,0,11,40
7237,8,1,12,40
7921,8,1,13,39
8611,8,6,14,38
9304,8,2,15,32
9997,8,0,16,30
10698,8,0,17,30
11399,8,0,18,30
12104,8,0,19,30
12813,8,0,20,30
13524,8,0,21,30
14248,8,0,22,30
14977,8,0,23,30
15713,8,0,24,30
16455,8,0,25,30
17214,8,0,26,30
17977,8,0,27,30
18741,8,0,28,30
19510,8,0,29,30
20279,8,2,30,30
21050,8,2,31,28
21822,8,2,32,26
22600,8,13,33,24
23379,8,0,34,11
24159,8,1,35,11
24940,8,1,36,10
25721,8,7,37,9
26502,8,2,38,2
8,9,3,1,125
624,9,3,2,122
1251,9,1,3,119
1899,9,3,4,118
2558,9,5,5,115
3219,9,13,6,110
3883,9,6,7,97
4549,9,1,8,91
5216,9,2,9,90
5886,9,2,10,88
6560,9,8,11,86
7238,9,0,12,78
7922,9,0,13,78
8612,9,3,14,78
9305,9,0,15,75
9998,9,3,16,75
10699,9,7,17,72
11400,9,3,18,65
12105,9,9,19,62
12814,9,1,20,53
13525,9,1,21,52
14249,9,7,22,51
14978,9,3,23,44
15714,9,5,24,41
16456,9,0,25,36
17215,9,0,26,36
17978,9,0,27,36
18742,9,1,28,36
19511,9,3,29,35
20280,9,5,30,32
21051,9,1,31,27
21823,9,2,32,26
22601,9,10,33,24
23380,9,0,34,14
24160,9,2,35,14
24941,9,7,36,12
25722,9,3,37,5
26503,9,2,38,2
9,10,0,1,27
625,10,1,2,27
1252,10,0,3,26
1900,10,0,4,26
2559,10,7,5,26
3220,10,1,6,19
3884,10,4,7,18
4550,10,1,8,14
5217,10,1,9,13
5887,10,2,10,12
6561,10,3,11,10
7239,10,2,12,7
7923,10,3,13,5
8613,10,2,14,2
9306,10,0,15,0
9999,10,0,16,0
10700,10,0,17,0
11401,10,0,18,0
12106,10,0,19,0
12815,10,0,20,0
13526,10,0,21,0
14250,10,0,22,0
14979,10,0,23,0
15715,10,0,24,0
16457,10,0,25,0
17216,10,0,26,0
17979,10,0,27,0
18743,10,0,28,0
19512,10,0,29,0
20281,10,0,30,0
21052,10,0,31,0
21824,10,0,32,0
22602,10,0,33,0
23381,10,0,34,0
24161,10,0,35,0
24942,10,0,36,0
25723,10,0,37,0
26504,10,0,38,0
10,11,0,1,53
626,11,0,2,53
1253,11,0,3,53
1901,11,2,4,53
2560,11,2,5,51
3221,11,2,6,49
3885,11,1,7,47
4551,11,2,8,46
5218,11,1,9,44
5888,11,2,10,43
6562,11,0,11,41
7240,11,0,12,41
7924,11,1,13,41
8614,11,1,14,40
9307,11,0,15,39
10000,11,4,16,39
10701,11,1,17,35
11402,11,0,18,34
12107,11,0,19,34
12816,11,1,20,34
13527,11,1,21,33
14251,11,4,22,32
14980,11,1,23,28
15716,11,0,24,27
16458,11,1,25,27
17217,11,0,26,26
17980,11,6,27,26
18744,11,2,28,20
19513,11,0,29,18
20282,11,1,30,18
21053,11,-2,31,17
21825,11,1,32,19
22603,11,3,33,18
23382,11,0,34,15
24162,11,0,35,15
24943,11,1,36,15
25724,11,13,37,14
26505,11,1,38,1
11,12,0,1,66
627,12,0,2,66
1254,12,0,3,66
1902,12,1,4,66
2561,12,0,5,65
3222,12,1,6,65
3886,12,0,7,64
4552,12,1,8,64
5219,12,1,9,63
5889,12,1,10,62
6563,12,0,11,61
7241,12,6,12,61
7925,12,1,13,55
8615,12,0,14,54
9308,12,1,15,54
10001,12,1,16,53
10702,12,1,17,52
11403,12,0,18,51
12108,12,2,19,51
12817,12,6,20,49
13528,12,0,21,43
14252,12,0,22,43
14981,12,1,23,43
15717,12,6,24,42
16459,12,9,25,36
17218,12,2,26,27
17981,12,3,27,25
18745,12,1,28,22
19514,12,1,29,21
20283,12,6,30,20
21054,12,1,31,14
21826,12,3,32,13
22604,12,7,33,10
23383,12,0,34,3
24163,12,1,35,3
24944,12,0,36,2
25725,12,0,37,2
26506,12,2,38,2
12,13,3,1,116
628,13,2,2,113
1255,13,2,3,111
1903,13,0,4,109
2562,13,0,5,109
3223,13,0,6,109
3887,13,0,7,109
4553,13,0,8,109
5220,13,0,9,109
5890,13,0,10,109
6564,13,7,11,109
7242,13,6,12,102
7926,13,8,13,96
8616,13,3,14,88
9309,13,2,15,85
10002,13,3,16,83
10703,13,2,17,80
11404,13,3,18,78
12109,13,2,19,75
12818,13,1,20,73
13529,13,8,21,72
14253,13,2,22,64
14982,13,0,23,62
15718,13,6,24,62
16460,13,3,25,56
17219,13,2,26,53
17982,13,3,27,51
18746,13,3,28,48
19515,13,5,29,45
20284,13,2,30,40
21055,13,1,31,38
21827,13,0,32,37
22605,13,11,33,37
23384,13,0,34,26
24164,13,8,35,26
24945,13,5,36,18
25726,13,6,37,13
26507,13,7,38,7
13,14,0,1,97
629,14,0,2,97
1256,14,2,3,97
1904,14,3,4,95
2563,14,3,5,92
3224,14,2,6,89
3888,14,2,7,87
4554,14,1,8,85
5221,14,4,9,84
5891,14,9,10,80
6565,14,0,11,71
7243,14,0,12,71
7927,14,0,13,71
8617,14,0,14,71
9310,14,0,15,71
10003,14,0,16,71
10704,14,10,17,71
11405,14,2,18,61
12110,14,3,19,59
12819,14,1,20,56
13530,14,3,21,55
14254,14,1,22,52
14983,14,0,23,51
15719,14,3,24,51
16461,14,2,25,48
17220,14,1,26,46
17983,14,2,27,45
18747,14,2,28,43
19516,14,1,29,41
20285,14,2,30,40
21056,14,2,31,38
21828,14,16,32,36
22606,14,3,33,20
23385,14,2,34,17
24165,14,1,35,15
24946,14,10,36,14
25727,14,1,37,4
26508,14,3,38,3
14,15,8,1,142
630,15,10,2,134
1257,15,2,3,124
1905,15,9,4,122
2564,15,4,5,113
3225,15,1,6,109
3889,15,2,7,108
4555,15,1,8,106
5222,15,0,9,105
5892,15,3,10,105
6566,15,2,11,102
7244,15,6,12,100
7928,15,2,13,94
8618,15,6,14,92
9311,15,2,15,86
10004,15,6,16,84
10705,15,3,17,78
11406,15,6,18,75
12111,15,2,19,69
12820,15,3,20,67
13531,15,2,21,64
14255,15,1,22,62
14984,15,9,23,61
15720,15,3,24,52
16462,15,7,25,49
17221,15,2,26,42
17984,15,6,27,40
18748,15,3,28,34
19517,15,6,29,31
20286,15,2,30,25
21057,15,2,31,23
21829,15,2,32,21
22607,15,7,33,19
23386,15,0,34,12
24166,15,1,35,12
24947,15,2,36,11
25728,15,7,37,9
26509,15,2,38,2
15,16,3,1,127
631,16,2,2,124
1258,16,-2,3,122
1906,16,0,4,124
2565,16,1,5,124
3226,16,2,6,123
3890,16,2,7,121
4556,16,2,8,119
5223,16,5,9,117
5893,16,2,10,112
6567,16,2,11,110
7245,16,0,12,108
7929,16,2,13,108
8619,16,7,14,106
9312,16,2,15,99
10005,16,3,16,97
10706,16,11,17,94
11407,16,3,18,83
12112,16,1,19,80
12821,16,4,20,79
13532,16,2,21,75
14256,16,2,22,73
14985,16,3,23,71
15721,16,10,24,68
16463,16,3,25,58
17222,16,1,26,55
17985,16,3,27,54
18749,16,10,28,51
19518,16,3,29,41
20287,16,1,30,38
21058,16,2,31,37
21830,16,5,32,35
22608,16,8,33,30
23387,16,0,34,22
24167,16,9,35,22
24948,16,0,36,13
25729,16,11,37,13
26510,16,2,38,2
16,17,12,1,127
632,17,6,2,115
1259,17,6,3,109
1907,17,7,4,103
2566,17,4,5,96
3227,17,3,6,92
3891,17,16,7,89
4557,17,0,8,73
5224,17,9,9,73
5894,17,2,10,64
6568,17,2,11,62
7246,17,13,12,60
7930,17,18,13,47
8620,17,3,14,29
9313,17,2,15,26
10006,17,3,16,24
10707,17,1,17,21
11408,17,0,18,20
12113,17,0,19,20
12822,17,0,20,20
13533,17,0,21,20
14257,17,0,22,20
14986,17,0,23,20
15722,17,0,24,20
16464,17,0,25,20
17223,17,0,26,20
17986,17,0,27,20
18750,17,0,28,20
19519,17,0,29,20
20288,17,8,30,20
21059,17,1,31,12
21831,17,1,32,11
22609,17,2,33,10
23388,17,0,34,8
24168,17,2,35,8
24949,17,2,36,6
25730,17,3,37,4
26511,17,1,38,1
17,18,6,1,130
633,18,6,2,124
1260,18,2,3,118
1908,18,5,4,116
2567,18,1,5,111
3228,18,0,6,110
3892,18,2,7,110
4558,18,-3,8,108
5225,18,0,9,111
5895,18,2,10,111
6569,18,2,11,109
7247,18,7,12,107
7931,18,1,13,100
8621,18,15,14,99
9314,18,9,15,84
10007,18,6,16,75
10708,18,2,17,69
11409,18,7,18,67
12114,18,2,19,60
12823,18,2,20,58
13534,18,2,21,56
14258,18,0,22,54
14987,18,9,23,54
15723,18,2,24,45
16465,18,6,25,43
17224,18,2,26,37
17987,18,8,27,35
18751,18,2,28,27
19520,18,9,29,25
20289,18,2,30,16
21060,18,2,31,14
21832,18,2,32,12
22610,18,7,33,10
23389,18,0,34,3
24169,18,1,35,3
24950,18,1,36,2
25731,18,1,37,1
26512,18,0,38,0
18,19,3,1,114
634,19,10,2,111
1261,19,2,3,101
1909,19,7,4,99
2568,19,8,5,92
3229,19,3,6,84
3893,19,1,7,81
4559,19,1,8,80
5226,19,6,9,79
5896,19,2,10,73
6570,19,11,11,71
7248,19,1,12,60
7932,19,2,13,59
8622,19,2,14,57
9315,19,1,15,55
10008,19,1,16,54
10709,19,0,17,53
11410,19,0,18,53
12115,19,1,19,53
12824,19,1,20,52
13535,19,2,21,51
14259,19,11,22,49
14988,19,2,23,38
15724,19,2,24,36
16466,19,9,25,34
17225,19,1,26,25
17988,19,0,27,24
18752,19,2,28,24
19521,19,3,29,22
20290,19,2,30,19
21061,19,0,31,17
21833,19,1,32,17
22611,19,0,33,16
23390,19,8,34,16
24170,19,1,35,8
24951,19,5,36,7
25732,19,1,37,2
26513,19,1,38,1
19,20,3,1,108
635,20,11,2,105
1262,20,1,3,94
1910,20,3,4,93
2569,20,1,5,90
3230,20,2,6,89
3894,20,2,7,87
4560,20,2,8,85
5227,20,2,9,83
5897,20,2,10,81
6571,20,2,11,79
7249,20,8,12,77
7933,20,0,13,69
8623,20,6,14,69
9316,20,2,15,63
10009,20,1,16,61
10710,20,5,17,60
11411,20,1,18,55
12116,20,5,19,54
12825,20,2,20,49
13536,20,2,21,47
14260,20,2,22,45
14989,20,3,23,43
15725,20,8,24,40
16467,20,3,25,32
17226,20,1,26,29
17989,20,1,27,28
18753,20,2,28,27
19522,20,2,29,25
20291,20,2,30,23
21062,20,0,31,21
21834,20,10,32,21
22612,20,2,33,11
23391,20,0,34,9
24171,20,2,35,9
24952,20,2,36,7
25733,20,3,37,5
26514,20,2,38,2
20,21,0,1,27
636,21,0,2,27
1263,21,0,3,27
1911,21,0,4,27
2570,21,0,5,27
3231,21,0,6,27
3895,21,0,7,27
4561,21,0,8,27
5228,21,0,9,27
5898,21,0,10,27
6572,21,0,11,27
7250,21,0,12,27
7934,21,0,13,27
8624,21,0,14,27
9317,21,0,15,27
10010,21,0,16,27
10711,21,0,17,27
11412,21,0,18,27
12117,21,0,19,27
12826,21,0,20,27
13537,21,1,21,27
14261,21,0,22,26
14990,21,1,23,26
15726,21,0,24,25
16468,21,1,25,25
17227,21,0,26,24
17990,21,1,27,24
18754,21,1,28,23
19523,21,1,29,22
20292,21,0,30,21
21063,21,1,31,21
21835,21,6,32,20
22613,21,2,33,14
23392,21,0,34,12
24172,21,0,35,12
24953,21,1,36,12
25734,21,1,37,11
26515,21,10,38,10
21,22,0,1,1
637,22,0,2,1
1264,22,0,3,1
1912,22,0,4,1
2571,22,0,5,1
3232,22,0,6,1
3896,22,1,7,1
4562,22,0,8,0
5229,22,0,9,0
5899,22,0,10,0
6573,22,0,11,0
7251,22,0,12,0
7935,22,0,13,0
8625,22,0,14,0
9318,22,0,15,0
10011,22,0,16,0
10712,22,0,17,0
11413,22,0,18,0
12118,22,0,19,0
12827,22,0,20,0
13538,22,0,21,0
14262,22,0,22,0
14991,22,0,23,0
15727,22,0,24,0
16469,22,0,25,0
17228,22,0,26,0
17991,22,0,27,0
18755,22,0,28,0
19524,22,0,29,0
20293,22,0,30,0
21064,22,0,31,0
21836,22,0,32,0
22614,22,0,33,0
23393,22,0,34,0
24173,22,0,35,0
24954,22,0,36,0
25735,22,0,37,0
26516,22,0,38,0
22,23,1,1,152
638,23,7,2,151
1265,23,1,3,144
1913,23,3,4,143
2572,23,-2,5,140
3233,23,12,6,142
3897,23,1,7,130
4563,23,3,8,129
5230,23,2,9,126
5900,23,2,10,124
6574,23,1,11,122
7252,23,3,12,121
7936,23,12,13,118
8626,23,1,14,106
9319,23,1,15,105
10012,23,1,16,104
10713,23,3,17,103
11414,23,6,18,100
12119,23,1,19,94
12828,23,2,20,93
13539,23,9,21,91
14263,23,10,22,82
14992,23,3,23,72
15728,23,2,24,69
16470,23,6,25,67
17229,23,2,26,61
17992,23,3,27,59
18756,23,1,28,56
19525,23,3,29,55
20294,23,1,30,52
21065,23,9,31,51
21837,23,2,32,42
22615,23,24,33,40
23394,23,0,34,16
24174,23,2,35,16
24955,23,7,36,14
25736,23,3,37,7
26517,23,4,38,4
23,24,6,1,50
639,24,6,2,44
1266,24,2,3,38
1914,24,6,4,36
2573,24,1,5,30
3234,24,0,6,29
3898,24,0,7,29
4564,24,0,8,29
5231,24,4,9,29
5901,24,1,10,25
6575,24,1,11,24
7253,24,0,12,23
7937,24,0,13,23
8627,24,0,14,23
9320,24,0,15,23
10013,24,0,16,23
10714,24,0,17,23
11415,24,0,18,23
12120,24,0,19,23
12829,24,0,20,23
13540,24,0,21,23
14264,24,0,22,23
14993,24,0,23,23
15729,24,0,24,23
16471,24,0,25,23
17230,24,1,26,23
17993,24,1,27,22
18757,24,0,28,21
19526,24,0,29,21
20295,24,0,30,21
21066,24,2,31,21
21838,24,0,32,19
22616,24,6,33,19
23395,24,0,34,13
24175,24,1,35,13
24956,24,1,36,12
25737,24,6,37,11
26518,24,5,38,5
24,25,6,1,40
640,25,0,2,34
1267,25,1,3,34
1915,25,0,4,33
2574,25,0,5,33
3235,25,0,6,33
3899,25,0,7,33
4565,25,0,8,33
5232,25,0,9,33
5902,25,1,10,33
6576,25,0,11,32
7254,25,1,12,32
7938,25,1,13,31
8628,25,5,14,30
9321,25,0,15,25
10014,25,0,16,25
10715,25,0,17,25
11416,25,0,18,25
12121,25,1,19,25
12830,25,0,20,24
13541,25,1,21,24
14265,25,0,22,23
14994,25,0,23,23
15730,25,0,24,23
16472,25,0,25,23
17231,25,1,26,23
17994,25,1,27,22
18758,25,0,28,21
19527,25,0,29,21
20296,25,0,30,21
21067,25,0,31,21
21839,25,6,32,21
22617,25,11,33,15
23396,25,0,34,4
24176,25,1,35,4
24957,25,1,36,3
25738,25,0,37,2
26519,25,2,38,2
25,26,0,1,34
641,26,0,2,34
1268,26,0,3,34
1916,26,6,4,34
2575,26,0,5,28
3236,26,2,6,28
3900,26,2,7,26
4566,26,6,8,24
5233,26,1,9,18
5903,26,9,10,17
6577,26,1,11,8
7255,26,1,12,7
7939,26,1,13,6
8629,26,1,14,5
9322,26,0,15,4
10015,26,0,16,4
10716,26,0,17,4
11417,26,0,18,4
12122,26,0,19,4
12831,26,0,20,4
13542,26,1,21,4
14266,26,0,22,3
14995,26,0,23,3
15731,26,0,24,3
16473,26,0,25,3
17232,26,0,26,3
17995,26,0,27,3
18759,26,0,28,3
19528,26,0,29,3
20297,26,1,30,3
21068,26,0,31,2
21840,26,2,32,2
22618,26,0,33,0
23397,26,0,34,0
24177,26,0,35,0
24958,26,0,36,0
25739,26,0,37,0
26520,26,0,38,0
612,27,1,1,57
642,27,1,2,56
1269,27,1,3,55
1917,27,0,4,54
2576,27,1,5,54
3237,27,1,6,53
3901,27,7,7,52
4567,27,9,8,45
5234,27,2,9,36
5904,27,2,10,34
6578,27,2,11,32
7256,27,1,12,30
7940,27,2,13,29
8630,27,2,14,27
9323,27,2,15,25
10016,27,1,16,23
10717,27,1,17,22
11418,27,0,18,21
12123,27,1,19,21
12832,27,1,20,20
13543,27,0,21,19
14267,27,1,22,19
14996,27,1,23,18
15732,27,0,24,17
16474,27,1,25,17
17233,27,2,26,16
17996,27,1,27,14
18760,27,1,28,13
19529,27,1,29,12
20298,27,1,30,11
21069,27,2,31,10
21841,27,2,32,8
22619,27,1,33,6
23398,27,1,34,5
24178,27,1,35,4
24959,27,1,36,3
25740,27,1,37,2
26521,27,1,38,1
26,28,1,1,47
643,28,2,2,46
1270,28,1,3,44
1918,28,0,4,43
2577,28,1,5,43
3238,28,5,6,42
3902,28,3,7,37
4568,28,1,8,34
5235,28,4,9,33
5905,28,1,10,29
6579,28,2,11,28
7257,28,2,12,26
7941,28,1,13,24
8631,28,2,14,23
9324,28,1,15,21
10017,28,0,16,20
10718,28,0,17,20
11419,28,1,18,20
12124,28,2,19,19
12833,28,9,20,17
13544,28,0,21,8
14268,28,1,22,8
14997,28,3,23,7
15733,28,1,24,4
16475,28,0,25,3
17234,28,1,26,3
17997,28,0,27,2
18761,28,1,28,2
19530,28,0,29,1
20299,28,0,30,1
21070,28,0,31,1
21842,28,0,32,1
22620,28,0,33,1
23399,28,0,34,1
24179,28,0,35,1
24960,28,0,36,1
25741,28,1,37,1
26522,28,0,38,0
27,29,0,1,44
644,29,1,2,44
1271,29,1,3,43
1919,29,4,4,42
2578,29,0,5,38
3239,29,1,6,38
3903,29,2,7,37
4569,29,1,8,35
5236,29,5,9,34
5906,29,0,10,29
6580,29,0,11,29
7258,29,9,12,29
7942,29,1,13,20
8632,29,1,14,19
9325,29,1,15,18
10018,29,1,16,17
10719,29,0,17,16
11420,29,1,18,16
12125,29,1,19,15
12834,29,10,20,14
13545,29,0,21,4
14269,29,0,22,4
14998,29,0,23,4
15734,29,0,24,4
16476,29,0,25,4
17235,29,0,26,4
17998,29,0,27,4
18762,29,0,28,4
19531,29,0,29,4
20300,29,0,30,4
21071,29,0,31,4
21843,29,0,32,4
22621,29,1,33,4
23400,29,0,34,3
24180,29,1,35,3
24961,29,0,36,2
25742,29,1,37,2
26523,29,1,38,1
28,30,0,1,0
645,30,0,2,0
1272,30,0,3,0
1920,30,0,4,0
2579,30,0,5,0
3240,30,0,6,0
3904,30,0,7,0
4570,30,0,8,0
5237,30,0,9,0
5907,30,0,10,0
6581,30,0,11,0
7259,30,0,12,0
7943,30,0,13,0
8633,30,0,14,0
9326,30,0,15,0
10019,30,0,16,0
10720,30,0,17,0
11421,30,0,18,0
12126,30,0,19,0
12835,30,0,20,0
13546,30,0,21,0
14270,30,0,22,0
14999,30,0,23,0
15735,30,0,24,0
16477,30,0,25,0
17236,30,0,26,0
17999,30,0,27,0
18763,30,0,28,0
19532,30,0,29,0
20301,30,0,30,0
21072,30,0,31,0
21844,30,0,32,0
22622,30,0,33,0
23401,30,0,34,0
24181,30,0,35,0
24962,30,0,36,0
25743,30,0,37,0
26524,30,0,38,0
29,31,0,1,11
646,31,0,2,11
1273,31,0,3,11
1921,31,1,4,11
2580,31,1,5,10
3241,31,1,6,9
3905,31,0,7,8
4571,31,1,8,8
5238,31,0,9,7
5908,31,0,10,7
6582,31,0,11,7
7260,31,0,12,7
7944,31,1,13,7
8634,31,1,14,6
9327,31,0,15,5
10020,31,0,16,5
10721,31,1,17,5
11422,31,1,18,4
12127,31,0,19,3
12836,31,1,20,3
13547,31,1,21,2
14271,31,0,22,1
15000,31,1,23,1
15736,31,0,24,0
16478,31,0,25,0
17237,31,0,26,0
18000,31,0,27,0
18764,31,0,28,0
19533,31,0,29,0
20302,31,0,30,0
21073,31,0,31,0
21845,31,0,32,0
22623,31,0,33,0
23402,31,0,34,0
24182,31,0,35,0
24963,31,0,36,0
25744,31,0,37,0
26525,31,0,38,0
30,32,2,1,76
647,32,1,2,74
1274,32,0,3,73
1922,32,0,4,73
2581,32,0,5,73
3242,32,0,6,73
3906,32,6,7,73
4572,32,2,8,67
5239,32,1,9,65
5909,32,1,10,64
6583,32,0,11,63
7261,32,1,12,63
7945,32,0,13,62
8635,32,7,14,62
9328,32,0,15,55
10021,32,1,16,55
10722,32,1,17,54
11423,32,0,18,53
12128,32,0,19,53
12837,32,3,20,53
13548,32,6,21,50
14272,32,4,22,44
15001,32,2,23,40
15737,32,0,24,38
16479,32,1,25,38
17238,32,2,26,37
18001,32,0,27,35
18765,32,0,28,35
19534,32,0,29,35
20303,32,6,30,35
21074,32,0,31,29
21846,32,6,32,29
22624,32,4,33,23
23403,32,0,34,19
24183,32,7,35,19
24964,32,6,36,12
25745,32,5,37,6
26526,32,1,38,1
31,33,0,1,0
648,33,0,2,0
1275,33,0,3,0
1923,33,0,4,0
2582,33,0,5,0
3243,33,0,6,0
3907,33,0,7,0
4573,33,0,8,0
5240,33,0,9,0
5910,33,0,10,0
6584,33,0,11,0
7262,33,0,12,0
7946,33,0,13,0
8636,33,0,14,0
9329,33,0,15,0
10022,33,0,16,0
10723,33,0,17,0
11424,33,0,18,0
12129,33,0,19,0
12838,33,0,20,0
13549,33,0,21,0
14273,33,0,22,0
15002,33,0,23,0
15738,33,0,24,0
16480,33,0,25,0
17239,33,0,26,0
18002,33,0,27,0
18766,33,0,28,0
19535,33,0,29,0
20304,33,0,30,0
21075,33,0,31,0
21847,33,0,32,0
22625,33,0,33,0
23404,33,0,34,0
24184,33,0,35,0
24965,33,0,36,0
25746,33,0,37,0
26527,33,0,38,0
32,34,0,1,0
649,34,0,2,0
1276,34,0,3,0
1924,34,0,4,0
2583,34,0,5,0
3244,34,0,6,0
3908,34,0,7,0
4574,34,0,8,0
5241,34,0,9,0
5911,34,0,10,0
6585,34,0,11,0
7263,34,0,12,0
7947,34,0,13,0
8637,34,0,14,0
9330,34,0,15,0
10023,34,0,16,0
10724,34,0,17,0
11425,34,0,18,0
12130,34,0,19,0
12839,34,0,20,0
13550,34,0,21,0
14274,34,0,22,0
